"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.784170000E-1,-4.149999917E-1,2.303999901E0,8.586999893E0,8.900404918E0
2.834310770E-1,-4.020000100E-1,2.315000057E0,8.560000420E0,8.876623032E0
2.884880000E-1,-3.810000122E-1,2.377000093E0,8.505000114E0,8.839135557E0
2.934644620E-1,-3.659999967E-1,2.451999903E0,8.465999603E0,8.821530978E0
2.994651540E-1,-3.619999886E-1,2.503999949E0,8.432999611E0,8.804347913E0
3.033893850E-1,-3.589999974E-1,2.540999889E0,8.437999725E0,8.819603211E0
3.084784620E-1,-3.379999995E-1,2.578000069E0,8.515000343E0,8.903120756E0
3.156836920E-1,-3.100000024E-1,2.608999968E0,8.630000114E0,9.021079914E0
3.184193850E-1,-3.009999990E-1,2.621000051E0,8.680999756E0,9.073036924E0
3.234386150E-1,-2.949999869E-1,2.642999887E0,8.793999672E0,9.187322985E0
3.284805390E-1,-3.070000112E-1,2.667000055E0,8.935999870E0,9.330553680E0
3.335963850E-1,-3.109999895E-1,2.713000059E0,9.105999947E0,9.506646377E0
3.384293850E-1,-3.260000050E-1,2.782000065E0,9.255999565E0,9.670539195E0
3.434275390E-1,-3.910000026E-1,2.835999966E0,9.368000031E0,9.795672584E0
3.484385390E-1,-5.109999776E-1,2.858000040E0,9.456000328E0,9.891674651E0
3.535740770E-1,-6.650000215E-1,2.881000042E0,9.494999886E0,9.944717648E0
3.586819230E-1,-8.360000253E-1,2.921000004E0,9.482999802E0,9.957832209E0
3.646080770E-1,-1.113999963E0,2.997999907E0,9.430999756E0,9.958551890E0
3.684282310E-1,-1.200000048E0,3.022000074E0,9.395999908E0,9.942700782E0
3.734423850E-1,-1.343000054E0,3.049000025E0,9.305000305E0,9.883475147E0
3.784210770E-1,-1.399999976E0,3.066999912E0,9.206999779E0,9.804862739E0
3.834968460E-1,-1.373999953E0,3.098999977E0,9.123000145E0,9.732461578E0
3.883912310E-1,-1.312000036E0,3.145999908E0,9.052000046E0,9.672505588E0
3.934380770E-1,-1.243000031E0,3.207999945E0,8.998000145E0,9.633292237E0
3.984334620E-1,-1.205000043E0,3.293999910E0,8.939999580E0,9.603439645E0
4.035041540E-1,-1.203999996E0,3.401000023E0,8.859999657E0,9.566400110E0
4.084393080E-1,-1.233999968E0,3.502000093E0,8.781999588E0,9.534688109E0
4.158206150E-1,-1.368999958E0,3.555999994E0,8.701999664E0,9.499689206E0
4.184230770E-1,-1.429999948E0,3.556999922E0,8.680999756E0,9.489831666E0
4.234241540E-1,-1.529000044E0,3.555000067E0,8.656999588E0,9.482589756E0
4.284727690E-1,-1.595999956E0,3.523999929E0,8.701999664E0,9.523160690E0
4.335108460E-1,-1.618000031E0,3.474999905E0,8.838999748E0,9.634389705E0
4.387338460E-1,-1.606999993E0,3.428999901E0,9.022000313E0,9.784527528E0
4.435747690E-1,-1.582000017E0,3.375000000E0,9.227999687E0,9.952352852E0
4.485590770E-1,-1.539000034E0,3.298000097E0,9.446999550E0,1.012379011E1
4.538193080E-1,-1.473000050E0,3.214999914E0,9.671999931E0,1.029822976E1
4.584804620E-1,-1.368000031E0,3.148000002E0,9.902999878E0,1.048097012E1
4.635005390E-1,-1.205999970E0,3.085999966E0,1.011800003E1,1.064667818E1
4.684012310E-1,-1.115000010E0,3.059000015E0,1.021000004E1,1.071656694E1
4.735943850E-1,-8.849999905E-1,2.986000061E0,1.044600010E1,1.090038254E1
4.784049230E-1,-8.420000076E-1,2.967000008E0,1.052700043E1,1.096949366E1
4.834286150E-1,-8.159999847E-1,2.924000025E0,1.072700024E1,1.114828086E1
4.884476920E-1,-8.790000081E-1,2.888000011E0,1.097599983E1,1.138357402E1
4.936527690E-1,-1.011000037E0,2.862999916E0,1.125000000E1,1.165252718E1
4.994356920E-1,-1.264000058E0,2.832000017E0,1.160799980E1,1.201513960E1
5.034172310E-1,-1.351999998E0,2.815000057E0,1.168999958E1,1.209992643E1
5.084177690E-1,-1.529000044E0,2.789000034E0,1.177600002E1,1.219797274E1
5.140298460E-1,-1.700999975E0,2.793999910E0,1.174800014E1,1.219489007E1
5.184318460E-1,-1.822000027E0,2.834000111E0,1.160700035E1,1.208609523E1
5.234209230E-1,-1.878000021E0,2.885999918E0,1.141800022E1,1.192587979E1
5.284600000E-1,-1.922999978E0,2.911000013E0,1.121800041E1,1.174799486E1
5.339114620E-1,-1.985999942E0,2.894000053E0,1.100500011E1,1.155116702E1
5.384280770E-1,-2.078000069E0,2.868000031E0,1.079300022E1,1.135924127E1
5.434250000E-1,-2.211999893E0,2.844000101E0,1.060299969E1,1.119843214E1
5.484323850E-1,-2.358000040E0,2.822000027E0,1.045199966E1,1.108007876E1
5.533810000E-1,-2.487999916E0,2.799999952E0,1.031900024E1,1.097779164E1
5.584253080E-1,-2.607000113E0,2.763999939E0,1.022799969E1,1.091091760E1
5.655387690E-1,-2.874000072E0,2.661999941E0,1.036299992E1,1.107871325E1
5.684260000E-1,-2.989000082E0,2.615999937E0,1.050599957E1,1.123181214E1
5.734260000E-1,-3.220000029E0,2.470000029E0,1.095699978E1,1.168439748E1
5.793033850E-1,-3.421999931E0,2.236999989E0,1.161999989E1,1.231822430E1
5.834148460E-1,-3.586999893E0,1.957000017E0,1.243900013E1,1.309294243E1
5.883980000E-1,-3.686000109E0,1.684999943E0,1.330300045E1,1.390667619E1
5.934511540E-1,-3.693000078E0,1.457999945E0,1.406700039E1,1.461658351E1
5.984023850E-1,-3.589999914E0,1.258999944E0,1.464700031E1,1.513300361E1
6.035178460E-1,-3.398999929E0,1.075000048E0,1.501599979E1,1.543337537E1
6.084251540E-1,-3.193000078E0,9.020000100E-1,1.521599960E1,1.557355121E1
6.140737690E-1,-2.983999968E0,7.530000210E-1,1.530000019E1,1.560644965E1
6.185413850E-1,-2.750999928E0,6.539999843E-1,1.527700043E1,1.553648798E1
6.234162310E-1,-2.476000071E0,6.169999838E-1,1.511600018E1,1.532986388E1
6.296489230E-1,-2.184000015E0,6.510000229E-1,1.478199959E1,1.495664297E1
6.334250770E-1,-2.051000118E0,6.909999847E-1,1.455300045E1,1.471305218E1
