date,listeners,streams,followers
2022-09-02,94,238,207
2022-09-03,39,112,208
2022-09-04,34,191,211
2022-09-05,37,167,212
2022-09-06,37,176,212
2022-09-07,50,196,213
2022-09-08,49,216,214
2022-09-09,62,155,216
2022-09-10,35,143,216
2022-09-11,30,201,215
2022-09-12,36,638,215
2022-09-13,42,845,217
2022-09-14,41,396,219
2022-09-15,34,353,219
2022-09-16,36,237,219
2022-09-17,29,123,219
2022-09-18,31,289,218
2022-09-19,28,933,217
2022-09-20,26,1136,218
2022-09-21,35,1224,218
2022-09-22,49,967,218
2022-09-23,57,1004,222
2022-09-24,38,869,222
2022-09-25,31,876,222
2022-09-26,35,926,222
2022-09-27,26,984,222
2022-09-28,22,859,222
2022-09-29,30,901,222
2022-09-30,36,961,224
2022-10-01,24,905,226
2022-10-02,27,899,226
2022-10-03,33,877,226
2022-10-04,35,798,226
2022-10-05,37,123,226
2022-10-06,30,98,228
2022-10-07,37,74,230
2022-10-08,45,166,232
2022-10-09,32,628,232
2022-10-10,38,907,233
2022-10-11,34,883,234
2022-10-12,42,588,234
2022-10-13,48,561,236
2022-10-14,54,688,237
2022-10-15,33,564,237
2022-10-16,37,530,238
2022-10-17,40,791,238
2022-10-18,31,878,238
2022-10-19,34,876,238
2022-10-20,45,874,239
2022-10-21,39,914,239
2022-10-22,36,846,239
2022-10-23,32,702,240
2022-10-24,38,485,240
2022-10-25,27,255,240
2022-10-26,33,237,245
2022-10-27,36,1047,248
2022-10-28,46,865,248
2022-10-29,40,885,248
2022-10-30,33,862,248
2022-10-31,28,871,248
2022-11-01,34,899,248
2022-11-02,26,180,248
2022-11-03,40,186,248
2022-11-04,42,995,248
2022-11-05,34,942,250
2022-11-06,50,985,250
2022-11-07,59,974,250
2022-11-08,48,976,252
2022-11-09,44,1005,253
2022-11-10,39,927,254
2022-11-11,56,997,258
2022-11-12,47,1011,258
2022-11-13,33,949,258
2022-11-14,34,1149,259
2022-11-15,31,973,258
2022-11-16,30,998,257
2022-11-17,31,979,257
2022-11-18,42,938,257
2022-11-19,35,961,257
2022-11-20,107,1496,257
2022-11-21,29,723,257
2022-11-22,36,625,257
2022-11-23,31,593,258
2022-11-24,33,587,258
2022-11-25,31,830,258
2022-11-26,33,1005,259
2022-11-27,27,1098,259
2022-11-28,24,1021,259
2022-11-29,34,998,259
2022-11-30,39,1098,260
2022-12-01,28,1038,261
2022-12-02,69,1430,262
2022-12-03,45,1349,263
2022-12-04,35,1152,264
2022-12-05,35,893,263
2022-12-06,31,971,265
2022-12-07,34,1181,267
2022-12-08,37,807,266
2022-12-09,48,906,267
2022-12-10,34,996,268
2022-12-11,28,1161,268
2022-12-12,31,963,270
2022-12-13,25,1052,270
2022-12-14,23,1106,270
2022-12-15,35,823,270
2022-12-16,27,534,270
2022-12-17,27,979,271
2022-12-18,30,931,271
2022-12-19,24,531,271
2022-12-20,37,768,271
2022-12-21,37,667,271
2022-12-22,32,511,271
2022-12-23,42,527,272
2022-12-24,37,804,274
2022-12-25,24,781,274
2022-12-26,32,734,274
2022-12-27,27,381,274
2022-12-28,23,531,274
2022-12-29,35,706,274
2022-12-30,36,460,274
2022-12-31,34,581,274
2023-01-01,17,662,275
2023-01-02,33,432,275
2023-01-03,39,404,275
2023-01-04,27,313,275
2023-01-05,26,249,274
2023-01-06,41,356,275
2023-01-07,31,409,275
2023-01-08,28,489,276
2023-01-09,28,646,275
2023-01-10,34,366,275
2023-01-11,55,323,274
2023-01-12,63,107,276
2023-01-13,77,415,277
2023-01-14,82,314,279
2023-01-15,53,372,280
2023-01-16,49,286,281
2023-01-17,91,327,283
2023-01-18,81,719,285
2023-01-19,116,632,286
2023-01-20,743,2140,298
2023-01-21,288,1350,301
2023-01-22,227,1156,302
2023-01-23,249,1278,304
2023-01-24,277,1258,306
2023-01-25,228,1109,305
2023-01-26,261,1112,307
2023-01-27,501,1405,308
2023-01-28,222,877,309
2023-01-29,173,721,312
2023-01-30,284,898,312
2023-01-31,276,812,312
2023-02-01,221,794,311
2023-02-02,197,669,315
2023-02-03,271,937,318
2023-02-04,184,569,318
2023-02-05,155,374,319
2023-02-06,178,762,320
2023-02-07,155,556,322
2023-02-08,173,785,322
2023-02-09,151,626,322
2023-02-10,230,404,323
2023-02-11,167,517,325
2023-02-12,136,845,325
2023-02-13,150,984,325
2023-02-14,165,1014,325
2023-02-15,134,661,325
2023-02-16,141,546,325
2023-02-17,137,947,325
2023-02-18,120,896,325
2023-02-19,91,702,325
2023-02-20,122,597,325
2023-02-21,118,973,324
2023-02-22,135,960,325
2023-02-23,121,814,325
2023-02-24,139,230,325
2023-02-25,107,475,326
2023-02-26,94,613,326
2023-02-27,125,725,326
2023-02-28,130,918,326
2023-03-01,143,940,325
2023-03-02,115,678,328
2023-03-03,108,694,328
2023-03-04,107,671,328
2023-03-05,85,671,328
2023-03-06,163,689,328
2023-03-07,138,723,328
2023-03-08,102,652,329
2023-03-09,135,816,329
2023-03-10,138,1309,330
2023-03-11,116,951,330
2023-03-12,87,615,330
2023-03-13,117,707,332
2023-03-14,98,686,332
2023-03-15,88,335,332
2023-03-16,105,208,334
2023-03-17,143,288,335
2023-03-18,113,461,335
2023-03-19,87,568,334
2023-03-20,110,692,334
2023-03-21,82,568,334
2023-03-22,97,596,335
2023-03-23,77,582,335
2023-03-24,95,564,336
2023-03-25,92,253,336
2023-03-26,83,418,338
2023-03-27,88,651,339
2023-03-28,76,632,339
2023-03-29,99,684,342
2023-03-30,97,664,342
2023-03-31,87,426,342
2023-04-01,80,120,342
2023-04-02,74,222,343
2023-04-03,93,633,343
2023-04-04,66,272,343
2023-04-05,99,195,344
2023-04-06,81,180,345
2023-04-07,81,176,346
2023-04-08,97,387,346
2023-04-09,79,627,347
2023-04-10,61,211,347
2023-04-11,65,152,348
2023-04-12,108,506,348
2023-04-13,117,321,347
2023-04-14,89,624,347
2023-04-15,110,400,347
2023-04-16,88,195,347
2023-04-17,137,192,347
2023-04-18,123,242,347
2023-04-19,124,244,346
2023-04-20,111,645,347
2023-04-21,78,558,347
2023-04-22,77,617,347
2023-04-23,74,581,348
2023-04-24,88,595,347
2023-04-25,102,633,347
2023-04-26,84,599,347
2023-04-27,90,642,347
2023-04-28,85,452,348
2023-04-29,90,210,348
2023-04-30,65,584,349
2023-05-01,83,604,349
2023-05-02,80,647,349
2023-05-03,98,709,349
2023-05-04,86,498,350
2023-05-05,97,441,350
2023-05-06,73,629,352
2023-05-07,51,553,352
2023-05-08,84,645,351
2023-05-09,90,381,351
2023-05-10,74,636,352
2023-05-11,82,534,352
2023-05-12,121,516,354
2023-05-13,92,552,357
2023-05-14,83,523,364
2023-05-15,98,676,365
2023-05-16,95,1113,367
2023-05-17,89,992,368
2023-05-18,65,676,368
2023-05-19,95,908,369
2023-05-20,69,945,371
2023-05-21,80,457,371
2023-05-22,69,379,373
2023-05-23,87,434,373
2023-05-24,88,689,372
2023-05-25,105,363,372
2023-05-26,86,114,372
2023-05-27,79,130,372
2023-05-28,67,582,372
2023-05-29,72,575,372
2023-05-30,100,529,372
2023-05-31,83,156,372
2023-06-01,79,575,372
2023-06-02,93,604,372
2023-06-03,79,445,372
2023-06-04,65,151,373
2023-06-05,72,200,373
2023-06-06,66,473,373
2023-06-07,77,129,375
2023-06-08,59,175,375
2023-06-09,78,572,375
2023-06-10,57,439,375
2023-06-11,50,514,376
2023-06-12,61,551,376
2023-06-13,64,559,377
2023-06-14,64,574,378
2023-06-15,43,563,377
2023-06-16,72,532,378
2023-06-17,55,514,378
2023-06-18,33,543,379
2023-06-19,55,595,379
2023-06-20,83,605,379
2023-06-21,61,578,379
2023-06-22,58,574,379
2023-06-23,74,619,379
2023-06-24,57,597,379
2023-06-25,47,541,380
2023-06-26,58,84,381
2023-06-27,72,192,381
2023-06-28,76,165,381
2023-06-29,93,289,382
2023-06-30,116,517,382
2023-07-01,92,207,385
2023-07-02,74,419,386
2023-07-03,70,406,386
2023-07-04,85,267,387
2023-07-05,64,126,385
2023-07-06,73,104,386
2023-07-07,74,275,386
2023-07-08,78,324,386
2023-07-09,67,608,390
2023-07-10,70,395,390
2023-07-11,65,125,390
2023-07-12,78,476,390
2023-07-13,103,537,390
2023-07-14,88,644,391
2023-07-15,102,222,397
2023-07-16,89,329,398
2023-07-17,92,468,400
2023-07-18,78,122,399
2023-07-19,89,299,400
2023-07-20,79,158,401
2023-07-21,79,159,401
2023-07-22,62,420,401
2023-07-23,48,537,401
2023-07-24,64,367,401
2023-07-25,81,108,401
2023-07-26,103,287,401
2023-07-27,87,559,402
2023-07-28,80,451,402
2023-07-29,96,445,403
2023-07-30,64,541,403
2023-07-31,75,186,403
2023-08-01,69,600,404
2023-08-02,81,176,405
2023-08-03,86,588,405
2023-08-04,78,400,405
2023-08-05,66,79,407
2023-08-06,60,70,407
2023-08-07,83,233,407
2023-08-08,75,587,407
2023-08-09,76,490,414
2023-08-10,74,247,417
2023-08-11,76,186,422
2023-08-12,85,321,429
2023-08-13,80,577,433
2023-08-14,95,668,434
2023-08-15,80,351,434
2023-08-16,93,668,440
2023-08-17,94,540,441
2023-08-18,101,577,441
2023-08-19,82,382,442
2023-08-20,72,145,445
2023-08-21,97,503,447
2023-08-22,92,672,452
2023-08-23,79,643,454
2023-08-24,84,575,454
2023-08-25,89,631,454
2023-08-26,99,656,454
2023-08-27,79,611,459
2023-08-28,91,406,460
2023-08-29,65,130,460
2023-08-30,80,173,460
2023-08-31,90,480,460
2023-09-01,91,450,459
2023-09-02,75,283,459
2023-09-03,73,509,459
2023-09-04,79,602,459
2023-09-05,96,317,459
2023-09-06,94,348,460
2023-09-07,119,609,460
2023-09-08,118,554,461
2023-09-09,89,301,462
2023-09-10,69,202,462
2023-09-11,97,467,462
2023-09-12,87,272,463
2023-09-13,105,281,465
2023-09-14,99,636,465
2023-09-15,108,618,467
2023-09-16,87,342,468
2023-09-17,72,151,468
2023-09-18,97,395,469
2023-09-19,93,163,469
2023-09-20,91,172,469
2023-09-21,103,167,469
2023-09-22,95,267,469
2023-09-23,80,581,469
2023-09-24,70,605,473
2023-09-25,75,539,473
2023-09-26,81,123,475
2023-09-27,75,178,475
2023-09-28,86,191,475
2023-09-29,95,491,475
2023-09-30,77,129,475
2023-10-01,68,230,476
2023-10-02,67,217,476
2023-10-03,69,125,476
2023-10-04,80,183,476
2023-10-05,75,467,476
2023-10-06,75,640,476
2023-10-07,79,449,476
2023-10-08,77,601,476
2023-10-09,76,648,477
2023-10-10,91,595,477
2023-10-11,98,345,479
2023-10-12,101,363,479
2023-10-13,118,459,479
2023-10-14,83,235,480
2023-10-15,73,317,480
2023-10-16,98,248,482
2023-10-17,78,628,482
2023-10-18,82,638,482
2023-10-19,90,679,483
2023-10-20,84,651,482
2023-10-21,87,673,482
2023-10-22,77,653,483
2023-10-23,93,708,483
2023-10-24,68,436,483
2023-10-25,95,186,483
2023-10-26,92,249,484
2023-10-27,92,425,484
2023-10-28,91,175,485
2023-10-29,84,201,485
2023-10-30,89,480,485
2023-10-31,82,599,485
2023-11-01,68,275,485
2023-11-02,70,352,485
2023-11-03,73,244,487
2023-11-04,77,632,487
2023-11-05,81,580,487
2023-11-06,76,606,487
2023-11-07,62,602,487
2023-11-08,77,599,487
2023-11-09,85,635,488
2023-11-10,93,691,490
2023-11-11,75,338,490
2023-11-12,62,96,492
2023-11-13,69,183,492
2023-11-14,81,645,493
2023-11-15,63,589,494
2023-11-16,71,620,496
2023-11-17,74,609,497
2023-11-18,74,738,497
2023-11-19,66,463,499
2023-11-20,78,143,499
2023-11-21,66,362,502
2023-11-22,77,619,502
2023-11-23,79,709,503
2023-11-24,89,615,504
2023-11-25,72,602,506
2023-11-26,53,624,506
2023-11-27,65,617,507
2023-11-28,83,636,509
2023-11-29,92,623,509
2023-11-30,80,144,509
2023-12-01,104,430,509
2023-12-02,67,121,509
2023-12-03,54,250,510
2023-12-04,64,616,510
2023-12-05,75,570,510
2023-12-06,82,178,510
2023-12-07,76,603,511
2023-12-08,77,293,511
2023-12-09,67,157,511
2023-12-10,55,291,511
2023-12-11,60,116,514
2023-12-12,70,603,514
2023-12-13,77,636,514
2023-12-14,77,493,514
2023-12-15,78,633,514
2023-12-16,78,367,515
2023-12-17,66,99,515
2023-12-18,60,367,515
2023-12-19,67,143,515
2023-12-20,87,398,516
2023-12-21,70,289,516
2023-12-22,227,923,518
2023-12-23,181,515,518
2023-12-24,187,422,520
2023-12-25,139,325,521
2023-12-26,119,307,522
2023-12-27,167,307,525
2023-12-28,198,410,528
2023-12-29,648,1047,532
2023-12-30,404,627,536
2023-12-31,316,636,541
2024-01-01,238,837,541
2024-01-02,394,609,542
2024-01-03,342,625,544
2024-01-04,316,621,546
2024-01-05,437,744,548
2024-01-06,248,613,548
2024-01-07,195,399,552
2024-01-08,269,560,554
2024-01-09,266,793,560
2024-01-10,315,517,560
2024-01-11,315,574,572
2024-01-12,387,951,573
2024-01-13,298,571,575
2024-01-14,208,619,578
2024-01-15,262,689,582
2024-01-16,415,837,585
2024-01-17,361,535,587
2024-01-18,359,842,588
